,gene,weighted_distance
3359,LAbrini_18175,44695.13684158084
3374,LAbrini_00520,9725.95048441504
704,LAbrini_13440,6743.177609454507
444,LAbrini_19240,5786.7538632840615
399,LAbrini_04115,5273.165228798148
1746,LAbrini_06010,4628.51296992888
1155,LAbrini_11355,4446.113284217069
2563,LAbrini_00895,4431.572859918985
563,LAbrini_19140,3840.8680033879227
2528,LAbrini_01360,3398.5417319596745
801,LAbrini_09455,3378.967144536903
2474,LAbrini_08485,3293.782539844995
2503,LAbrini_15920,2564.396111589267
3037,LAbrini_18345,2493.326575373362
412,LAbrini_04000,2430.717374677084
1292,LAbrini_08350,2242.4042293270527
3404,LAbrini_17220,2137.970005269892
946,LAbrini_18595,2021.8859765300374
1613,LAbrini_18250,1972.4321916373956
1202,LAbrini_11400,1642.0896164409614
840,LAbrini_00180,1541.7655821925541
235,LAbrini_09700,1536.0186567003605
1435,LAbrini_13340,1423.0238232064444
1993,LAbrini_01255,1386.6055203179046
1203,LAbrini_12100,1385.223434143741
392,LAbrini_06860,1372.4457395902248
1902,LAbrini_09470,1368.0860664633633
1395,LAbrini_18785,1349.794570572709
3249,LAbrini_17200,1298.24060702867
2069,LAbrini_05150,1261.850434200096
2631,LAbrini_08140,1230.9148220605048
3270,LAbrini_19600,1227.5911240084681
2840,LAbrini_17275,1212.2186103116462
1116,LAbrini_11030,1187.175769144764
1264,LAbrini_09680,1117.2147462756254
297,LAbrini_15860,1041.1783244503115
145,LAbrini_17050,1008.8002412361333
2436,LAbrini_10580,942.8838932781214
153,LAbrini_09030,919.0252336587043
3447,LAbrini_06275,894.5439546669511
2087,LAbrini_05030,894.4846044007245
921,LAbrini_03265,878.7246049117925
204,LAbrini_19825,829.7274451456345
1241,LAbrini_16935,823.1401541498457
2793,LAbrini_01455,783.9410343273933
180,LAbrini_06570,733.3387658612407
3807,LAbrini_15495,732.4154494772264
3134,LAbrini_05250,710.3246266683718
3338,LAbrini_16740,706.6061577016319
2291,LAbrini_16260,695.2286792231272
3285,LAbrini_07010,683.2461621764876
2328,LAbrini_00260,681.6479455340186
2298,LAbrini_16075,674.5069396760787
2911,LAbrini_17685,666.173539335601
3484,LAbrini_16610,651.0015800214269
130,LAbrini_07565,649.4416074725157
2644,LAbrini_13010,639.1488268989709
1723,LAbrini_11360,639.1023642591124
1538,LAbrini_04625,616.4392538010628
560,LAbrini_12670,609.2657679940326
382,LAbrini_18645,596.07745512716
688,LAbrini_00130,578.3878495951479
1747,LAbrini_02085,565.5991794736782
3179,LAbrini_01975,554.8863048759002
888,LAbrini_02840,546.7991410308225
2247,LAbrini_18360,538.7292046689612
132,LAbrini_00655,530.593243854087
1855,LAbrini_08175,517.0525293607844
3260,LAbrini_09990,499.97295167122815
847,LAbrini_02500,499.151693108626
2178,LAbrini_18530,492.5591052481508
3213,LAbrini_12165,484.4822606395228
3498,LAbrini_18060,459.0590649301529
2855,LAbrini_18430,442.13166424347
2830,LAbrini_04590,439.28662332080177
2741,LAbrini_11385,431.0797593095605
3082,LAbrini_13315,430.0104933123557
3529,LAbrini_02875,422.9615943791821
920,LAbrini_14200,409.3498968731584
1126,LAbrini_09640,407.78917740677787
1596,LAbrini_18800,403.62096530276506
3604,LAbrini_09665,399.5892024087634
1821,LAbrini_07760,389.4899164932871
2031,LAbrini_20205,385.49820396812567
870,LAbrini_19695,383.8676331133248
2760,LAbrini_08025,383.4430338058746
1612,LAbrini_01000,383.22219489999645
3362,LAbrini_13390,380.32407042526967
505,LAbrini_05290,376.17934026489155
497,LAbrini_08785,356.0876531987346
146,LAbrini_17665,349.1661081833438
1609,LAbrini_05425,346.27243739242414
1876,LAbrini_14225,345.58823191832346
525,LAbrini_09340,344.88706393487087
1672,LAbrini_05010,343.77031610414735
344,LAbrini_02505,332.650706028387
272,LAbrini_10075,331.30760106187023
3203,LAbrini_09615,330.9017706004742
2259,LAbrini_18075,329.0841996375838
2098,LAbrini_13495,328.7136268071934
2587,LAbrini_06760,326.150183568545
662,LAbrini_09705,318.55748745893936
1463,LAbrini_05255,318.33059316806145
2728,LAbrini_04275,318.03121411514803
577,LAbrini_01750,317.0226748584303
844,LAbrini_00945,316.83605037498495
3265,LAbrini_16165,311.5927134948305
3104,LAbrini_01505,311.38426990137816
3673,LAbrini_08775,305.1806848288152
3172,LAbrini_14460,305.0209622134103
1039,LAbrini_14735,303.55847594743125
36,LAbrini_10610,301.0098381631518
253,LAbrini_13880,300.97730957355554
150,LAbrini_14960,299.9474927004471
689,LAbrini_14120,299.9472640653591
441,LAbrini_05360,297.43329229017985
1493,LAbrini_05620,296.7799135196846
460,LAbrini_01765,296.66808733268317
1447,LAbrini_07030,295.08612542182146
3320,LAbrini_14495,292.22133897468797
1049,LAbrini_06370,289.49786295337543
394,LAbrini_08295,289.42878572646384
3146,LAbrini_15735,289.3727296054376
3259,LAbrini_15025,287.38612807740253
1860,LAbrini_08035,285.9378134776436
1290,LAbrini_09685,281.35898000468853
714,LAbrini_13930,276.68085252327984
3310,LAbrini_14845,270.4861141014492
1739,LAbrini_11920,266.1755455374051
3437,LAbrini_02630,264.5169047975823
2622,LAbrini_08815,263.12999810306667
2829,LAbrini_13625,260.9523756429533
455,LAbrini_17535,259.13573195447253
3610,LAbrini_05700,258.17904788908686
3554,LAbrini_19250,255.80542664595805
157,LAbrini_08450,255.5759184794587
78,LAbrini_05415,254.11760665117995
2183,LAbrini_06215,252.1495258654034
3418,LAbrini_05400,251.06015852863572
2412,LAbrini_04950,250.47564790299162
1811,LAbrini_19365,250.37749285133168
2245,LAbrini_17630,249.5505777207771
1408,LAbrini_05500,246.92851263212677
3106,LAbrini_13095,246.2523360769985
3735,LAbrini_08940,244.11362142263934
2195,LAbrini_17940,243.8565415052829
773,LAbrini_09735,241.2428630766593
295,LAbrini_19785,240.42127444584946
2834,LAbrini_00190,239.90532565166768
1541,LAbrini_15935,237.7108479651428
3306,LAbrini_11975,236.94648570959674
2986,LAbrini_03040,236.55966630450965
3563,LAbrini_06320,236.453927400156
67,LAbrini_19635,236.395995487604
515,LAbrini_17815,236.1974368689292
1143,LAbrini_03600,232.01538081465986
1102,LAbrini_01635,231.4914457581301
1759,LAbrini_12820,229.34264810504803
2719,LAbrini_14865,228.89230519756336
3691,LAbrini_02565,228.32328213696766
3593,LAbrini_14955,224.44304896793258
3771,LAbrini_03870,223.78394595440352
422,LAbrini_04415,223.76737704121152
1899,LAbrini_18385,222.10815476750867
3694,LAbrini_08315,221.8815981102779
3590,LAbrini_10160,219.94542693559453
3486,LAbrini_18350,218.95338506281894
2306,LAbrini_06930,218.9100502149952
3304,LAbrini_18335,218.12907855573826
2894,LAbrini_18775,217.806831903436
2739,LAbrini_11175,217.38821011554361
3343,LAbrini_06440,216.456422703697
3702,LAbrini_18590,212.63624848327618
2231,LAbrini_15040,210.26794427269897
845,LAbrini_15565,210.13082220180462
1678,LAbrini_02425,208.20317680442682
808,LAbrini_17015,208.11939406343322
1984,LAbrini_01110,208.0132753138559
953,LAbrini_17330,206.7740505507982
2397,LAbrini_05060,206.34203215391898
2456,LAbrini_05200,206.34056137277966
2588,LAbrini_16855,204.1432072729497
278,LAbrini_08180,202.2701840644803
110,LAbrini_07495,201.814176422036
2511,LAbrini_11010,201.46853363555303
2589,LAbrini_03215,201.20919547799073
1721,LAbrini_04520,201.03662108381494
2677,LAbrini_17295,200.1179790264399
1519,LAbrini_00975,198.2362136360952
3012,LAbrini_11830,197.44371005196737
2457,LAbrini_08695,196.1453478291791
1454,LAbrini_15825,194.8856599864006
854,LAbrini_11885,194.43473336381123
819,LAbrini_12465,194.0830956159259
3200,LAbrini_09875,192.88094609502878
3241,LAbrini_13105,192.70427378557682
1095,LAbrini_05275,192.3932963185783
2924,LAbrini_01470,189.14242557882028
707,LAbrini_01835,187.64600963438627
3830,LAbrini_05525,184.13942322962274
566,LAbrini_09195,181.93729831325595
3407,LAbrini_19360,181.75834803393013
2442,LAbrini_18095,180.79612616982806
2577,LAbrini_14160,180.7393981645035
1911,LAbrini_10950,179.54409096957832
1431,LAbrini_15570,178.10011865007667
2820,LAbrini_01640,177.899456668465
686,LAbrini_20155,176.71280089219215
266,LAbrini_13830,175.09961390895228
1919,LAbrini_11735,174.78701228465175
2966,LAbrini_00170,174.64961697047778
586,LAbrini_19450,174.00933231603113
1943,LAbrini_13580,173.25428081544982
284,LAbrini_05215,172.37979112678747
1837,LAbrini_09605,172.12698871428256
2769,LAbrini_03910,172.0963118613051
1789,LAbrini_16615,172.05778971654527
